iter	Logloss
0	0.5564548108
1	0.4461715992
2	0.3842061254
3	0.33220747
4	0.2931776297
5	0.2627486123
6	0.2409116596
7	0.225306863
8	0.2124534274
9	0.2020584218
10	0.195936207
11	0.1903031155
12	0.1846556452
13	0.180494803
14	0.1771689156
15	0.1731332864
16	0.169749027
17	0.1660771727
18	0.1638584236
19	0.1617306725
20	0.1595969054
21	0.1577031464
22	0.1562515369
23	0.1543566727
24	0.1524850067
25	0.1500024301
26	0.1485037598
27	0.1467378467
28	0.1448737567
29	0.1435656783
30	0.1425071818
31	0.1411787311
32	0.1397763635
33	0.1383374442
34	0.1368398469
35	0.1350017585
36	0.1334582096
37	0.1322508548
38	0.1311958794
39	0.1298045452
40	0.1288001572
41	0.127899064
42	0.1268117943
43	0.1255166044
44	0.1241890937
45	0.1231683882
46	0.121671474
47	0.120661084
48	0.1196387786
49	0.118359743
50	0.1176194405
51	0.1169453218
52	0.1156085482
53	0.1148209528
54	0.1140471326
55	0.112986106
56	0.1120513577
57	0.1104952108
58	0.1093665064
59	0.1084430731
60	0.1076683882
61	0.1066194483
62	0.1057762298
63	0.1045538772
64	0.103681254
65	0.1027526626
66	0.1020043631
67	0.1008489348
68	0.09983155341
69	0.0986128951
70	0.09755593162
71	0.09677801492
72	0.09581833472
73	0.09512856945
74	0.09427219429
75	0.09353175143
76	0.09290743961
77	0.09213657175
78	0.09113429293
79	0.09040649616
80	0.0897158497
81	0.08914215749
82	0.08800668086
83	0.08735107033
84	0.08671203946
85	0.0862730163
86	0.08567541771
87	0.0849316744
88	0.08395733371
89	0.08343739248
90	0.08279192252
91	0.08214273148
92	0.08169271601
93	0.08142448263
94	0.08068655657
95	0.07993638558
96	0.07967701757
97	0.07891911722
98	0.07876526218
99	0.07818905051
100	0.07747923833
101	0.07682443997
102	0.07586071364
103	0.07518174523
104	0.0747859568
105	0.07415566054
106	0.07371335085
107	0.07295575257
108	0.07246949999
109	0.07201042267
110	0.07171873221
111	0.07105973269
112	0.0701638382
113	0.06959595724
114	0.06892051601
115	0.06856692006
116	0.06818932451
117	0.06775358999
118	0.06744624136
119	0.06695387678
120	0.06680361284
121	0.06650666365
122	0.06573616793
123	0.06535966975
124	0.06488932909
125	0.06409886595
126	0.06348705538
127	0.06306045869
128	0.06250102205
129	0.06204826913
130	0.06144741522
131	0.06091623983
132	0.06064092588
133	0.06057095382
134	0.06003982689
135	0.05961537739
136	0.05926972592
137	0.0590369034
138	0.05868073161
139	0.05862776223
140	0.05799014101
141	0.0577715795
142	0.05742031345
143	0.05681276212
144	0.05602213052
145	0.05522622094
146	0.05468283968
147	0.05448804923
148	0.05410056202
149	0.05363199042
150	0.05325325519
151	0.05289135664
152	0.05236250159
153	0.05204584426
154	0.0517990536
155	0.05142954018
156	0.05097024208
157	0.05077024757
158	0.05057723203
159	0.05033384744
160	0.04987874913
161	0.0496799538
162	0.04937675862
163	0.04933120775
164	0.04912864846
165	0.04863735861
166	0.04809260036
167	0.04777094539
168	0.04744859709
169	0.04690607049
170	0.04649887221
171	0.04620616556
172	0.04593260411
173	0.04559596272
174	0.04526426659
175	0.04494279205
176	0.04460209334
177	0.04430867057
178	0.04389456937
179	0.04348332512
180	0.0431684669
181	0.04290525758
182	0.04274492182
183	0.04250730423
184	0.04221135399
185	0.04194706015
186	0.04171687109
187	0.04150476066
188	0.041298892
189	0.0410197466
190	0.04093591527
191	0.04078354258
192	0.04047470274
193	0.04017975087
